address,value,is_contract
0x6bA9c7d86eBD6A20817d482C42C9dE2806EeFB7e,64673207925830821302881,false
0x6F0f01aa6101eD4577760EdD2405A4455A60A304,62225226392709517348014,false
0x78034551d19Bfdc5567041028Cb2D2e400059d3E,56958102805179691570799,false
0xa7CBb758849979CEc43FD146fe01EB2BF560202C,47323959006506708078916,false
0x584708bf806e2772A801683150D73fa9FA199C3F,45467815207381108561785,false
0x3Ef3D8bA38EBe18DB133cEc108f4D14CE00Dd9Ae,41550272918883522807654,true
0xED3981C6220dFcd368268b180b87AB643ce04b75,41258149590201332063573,false
0x922b0F73D7Cc630F6C48E598b45A8e1eFF9e6fb6,36678946794707116956910,false
0x9C5711dCbca8ab857E9Fdb609BB38f46B8b2E8FF,32811089912751206488770,false
0x8e87Caf1FC5a0d4aebe0E0c976b24a3A9e3672C4,29406555526547941848618,false
0xc25404122C1776689A6fD620d0F816Cb9e36e5dD,28928469209406112574550,false
0x73860DC8055a36199fa017e4D9b6584E1497DF85,25656664275593429717525,false
0xF4DC338B1b1184F84a461f0bb2f974fC90A81456,24351819736508615748507,false
0x8fb2FB82fF44da85E43d0A71CA992DbBC3243c5a,21493173180602057290997,false
0x156a958A4b2E089D26BD5bD245C7A48985566ddd,18331154580214158033846,false
0xAE0f77C239f72da36d4dA20a4bBdaAe4Ca48e03F,18308131982217142025209,false
0xe2666904EFd7988f7a5AC5DA4b4F4215a6Bc045e,17306142256662718677677,false
0xb8DAB6C5dFdd33Ed14a48E5941A1e8509b856aE3,16832030651623453735933,false
0xD2A3Afc44b635fdF50d3c4eb89B0c3109CFD5FAc,16770905850928105752999,false
0x4919d1492B540288634E817B6454449Fb9605b60,16208385772646668134471,false
0x311853eB5310a4f61215Ba48A520f95BB35348c8,15901354633887591097833,false
0x54ed41C1EcAB64881F2A29083e8dAf8302c5A120,15896366872439588122023,false
0xADeED59F446cb0a141837e8f7c22710d759Cba65,14761944207492496659611,false
0x0B919e8e21DdFaDBe8D9A0F7687b69c20058a48C,13111574604052675216177,false
0xE1f8aFc92644Bfe77080D7DCb0f936F578E00F53,12437714524473824189877,false
0x8AB117Ae3AF056395DC23cD79bA07bdA3A95D9F3,12369350911170006603947,false
