address,value,is_contract
0x6bA9c7d86eBD6A20817d482C42C9dE2806EeFB7e,188930308572,false
0xc25404122C1776689A6fD620d0F816Cb9e36e5dD,123652177541,false
0x3Ef3D8bA38EBe18DB133cEc108f4D14CE00Dd9Ae,116669779538,true
0xa7CBb758849979CEc43FD146fe01EB2BF560202C,113755422777,false
0x311853eB5310a4f61215Ba48A520f95BB35348c8,103510004862,false
0x3A54dF4CC72a4ca65E1a53E28E9912535Ff07641,98490280072,false
0x8e87Caf1FC5a0d4aebe0E0c976b24a3A9e3672C4,85854581744,false
0x1F0D16F1c44Fa04511AD58360782B1a67e1F5DC0,70570039098,false
0x8fb2FB82fF44da85E43d0A71CA992DbBC3243c5a,68856776560,false
0x6F0f01aa6101eD4577760EdD2405A4455A60A304,68049897849,false
0xe2666904EFd7988f7a5AC5DA4b4F4215a6Bc045e,64982702185,false
0x78034551d19Bfdc5567041028Cb2D2e400059d3E,51785555395,false
0x43e1CCFE765f6C2a09bbe63D456BCB1e85835fe5,46462387052,false
0x378119CEF4818B29B447aE008a5523Ba037317Cd,43231033155,false
0xD2A3Afc44b635fdF50d3c4eb89B0c3109CFD5FAc,41305922315,false
0x54ed41C1EcAB64881F2A29083e8dAf8302c5A120,35666505400,false
0x9D0214C3dB28875fe2b9eb9cD9d4F71E7817890A,34946808578,false
0xE1f8aFc92644Bfe77080D7DCb0f936F578E00F53,34176794750,false
0xED3981C6220dFcd368268b180b87AB643ce04b75,32489235959,false
0xb8DAB6C5dFdd33Ed14a48E5941A1e8509b856aE3,32333812618,false
0x972b0F9cDE1266e860E546ac92E783741769400F,31704674824,false
0x4919d1492B540288634E817B6454449Fb9605b60,31131350237,false
0xC9616AE1014228AB036d49BC36Ef9D078343Fd30,29926328125,false
0xfa8E54aD80D5A0C25d225c04e44fb993Ad88e487,28311553138,false
0xA6548c1F8D3F3c97f75deE8D030B942b6c88B6ce,27813863340,false
0x156a958A4b2E089D26BD5bD245C7A48985566ddd,27630838006,false
0x11882CA26d94275436A3Da07250eB0F0D6e9e52d,25969246486,false
0x73860DC8055a36199fa017e4D9b6584E1497DF85,25824225181,false
0xF4DC338B1b1184F84a461f0bb2f974fC90A81456,25673837808,false
0x2107dC09Fd3C7127749C1A47C84E4A33D6e72F1A,25280337965,false
0x2B38f0De645E05Ec410AE86Ef479a1e42E45Bd12,25269925390,false
0xcCb8E090Fe070945cC0131a075B6e1EA8F208812,24912740338,false
0xAE0f77C239f72da36d4dA20a4bBdaAe4Ca48e03F,22288628271,false
0x8A86690902182d4f742bA81a988EC27FEaB16269,21498953207,false
0x85ca0Dff027102ea3FBF1c077524eab21D1F7927,21017958437,false
0x611Df39bcac12274Aacba396E4D83CD05a7e107F,20047004298,false
0x490559b029C6ecAa2070d60f3820BcDF6bb491D9,19772959437,false
0x9C5711dCbca8ab857E9Fdb609BB38f46B8b2E8FF,19153437801,false
0xced306BfCB4a057aE3905063fD601774F9F18730,18642733959,false
0x50FFD61edfA097407143cC64f7156f715D0e0239,18335317127,false
0x6d176c1376B610aC5C74aA92117aB8C01b64f620,16703198156,false
0x703EE58AC2bbC219De04014F3210202C5d82070A,16607527582,false
0xE43c0F5a3d26B035a3b93C24bE7536B2623DE8Af,16102902583,false
0x4d2F4186Fc6F6eF8814d0E2d07eB1aF5d0bEF0F4,15654194200,false
0x372C50019FB522A96b24437dc8D981613c5e15ea,15347393934,false
0xb3d1aCA9bF004d0da560930Cf9277c604eDf2283,14358347960,false
0xB70D6076ee01Be23C93aadF00754864c82cc44A8,13933754302,false
0x9015CFd723c5af5eDdFE8c8bcf7d64CBbD8E3aBa,13739592033,false
0xB725e133780AA831d50DFD906499f9041c93C543,13059007947,false
0x33fB9032a46393eFbC22b4B43dd736f9BC20774a,12579387785,false
0x584708bf806e2772A801683150D73fa9FA199C3F,11898485056,false
0x992965332Cd30b954A73dF26B667E520cf3F9Cec,11381697792,false
0xF0c09d91aA30E491e1A3A20C6FD35838257E2648,10641704761,false
0xADeED59F446cb0a141837e8f7c22710d759Cba65,9801350975,false
0x42CFe2b6C77098cF86149Ef7ADFa2F06A395D175,9584067112,false
0x89b5322E2Fcee4FAad79B29C920d1cF846933C89,9290140946,false
0x8AB117Ae3AF056395DC23cD79bA07bdA3A95D9F3,9101425237,false
0x11fC7853944570C1F9D9EBE7Ac24e2FeFddf0314,9057705049,false
0xab025D1Cb886D8464f6aECfC7144C6c4D07aa6D8,9004912015,false
0x8a6b6921c50D87A5EA828d1CFDf387Dff1eef5db,8925552034,false
0x9D5132Dd45CdaCd1De3a7b7f1f13da7F025fF726,8665712958,false
0x1e6245C32827Db3BFdb9182FFE4Dd36E31739871,8335388054,false
0x0E42a09F7A8faE1211A26b78E8A1937fC8aD79FE,8273767917,false
0xD5c2d0F5314131025302A18A63EE05248B0950BA,7909893858,false
0x79bc970B69CC8fb31406C409692eD19612E39731,7623117998,false
0x0C1856Cb7444cc8596c706185b54535F45C2623B,7542219695,false
0x5c47F9556FB60C2a7A28533EcCE4Bc7fB0C1ad40,7205624581,false
0x5d8809340760b1bB54642BE91Bb5A2871C0d7a10,7108481271,false
0x8222B6416C4604813359E4257CbA4eb660A47F41,7091672288,false
0x5bF35B1AFCb8c7a2d01AB924c709206196C8ad3C,6793034589,false
0xC77718b75Ba9662Bdc27E5Ec95C99d60aafEDD89,6690409552,false
0x64a997Ace7586e6700516a08954a39b8e355B62B,6620351782,false
